H2SH,H2SL,NH3,PIDmV,PIDppm,T1,RH1,T2,RH2,LAT,LONG,ALT,ACC,t
0.28,-0.25,0.17,24,2.09,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,19
0.47,-0.23,0.18,25,2.18,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,20
0.37,-0.19,0.18,26,2.18,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,21
0.28,-0.23,0.18,25,2.09,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,22
0.28,-0.23,0.17,24,2.09,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,23
0.37,-0.21,0.17,24,2.09,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,24
0.28,-0.21,0.17,25,2.09,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,25
0.47,-0.23,0.17,25,2.09,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,26
0.28,-0.21,0.17,25,2.09,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,27
0.47,-0.21,0.18,25,2.18,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,28
0.37,-0.19,0.17,24,2.09,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,29
0.37,-0.21,0.16,24,2.09,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,30
0.47,-0.21,0.17,26,2.18,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,31
0.37,-0.17,0.17,25,2.18,29.09,34.56,29.45,39.96,41.3705978394,1.9958617687,145.6437988281,0.044,32
0.37,-0.23,0.16,25,2.09,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,32
0.37,-0.21,0.17,26,2.27,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,33.1428571428571
0.37,-0.25,0.16,27,2.18,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,34.2857142857143
0.28,-0.21,0.17,26,2.18,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,35.4285714285714
0.28,-0.21,0.16,26,2.18,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,36.5714285714286
0.18,-0.19,0.16,25,2.09,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,37.7142857142857
0.18,-0.21,0.16,24,2.18,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,38.8571428571429
0.18,-0.23,0.16,25,2.09,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,40
0.08,-0.21,0.17,25,2.18,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,41.1428571428571
0.28,-0.21,0.16,24,2,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,42.2857142857143
0.47,-0.23,0.16,26,2.09,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,43.4285714285714
0.18,-0.23,0.17,25,2.18,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,44.5714285714286
0.37,-0.21,0.17,25,2.09,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,45.7142857142857
0.47,-0.19,0.17,24,2.09,29.14,34.76,29.48,40.02,41.3705978394,1.9958618879,145.570602417,0.0404,46.8571428571429
0.28,-0.23,0.17,25,2.09,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,46.8571428571429
0.28,-0.23,0.16,25,2.18,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,48
0.37,-0.17,0.17,25,2.09,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,49.1428571428571
0.18,-0.21,0.17,26,2.18,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,50.2857142857143
0.08,-0.23,0.17,25,2.09,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,51.4285714285714
0.18,-0.27,0.16,24,2.09,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,52.5714285714286
0.18,-0.21,0.16,25,2.18,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,53.7142857142857
0.47,-0.21,0.17,24,2.09,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,54.8571428571429
0.18,-0.21,0.16,25,2.18,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,56
0.18,-0.19,0.17,25,2.09,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,57.1428571428571
0.28,-0.19,0.16,24,2.09,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,58.2857142857143
0.47,-0.19,0.17,24,2.18,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,59.4285714285714
0.18,-0.21,0.16,25,2.09,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,60.5714285714286
0.28,-0.19,0.17,25,2.09,29.17,34.67,29.56,39.94,41.3705978394,1.9958620071,145.5411071777,0.037,61.7142857142857
0.28,-0.23,0.17,26,2.18,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,61.7142857142857
0.37,-0.21,0.17,25,2.18,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,62.3809523809524
0.28,-0.21,0.16,25,2.09,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,63.047619047619
0.37,-0.17,0.16,24,2.18,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,63.7142857142857
0.28,-0.19,0.16,24,2.09,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,64.3809523809524
0.18,-0.19,0.16,25,2.09,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,65.047619047619
0.18,-0.19,0.17,26,2.18,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,65.7142857142857
0.37,-0.19,0.18,25,2.18,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,66.3809523809524
0.18,-0.21,0.16,24,2.09,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,67.047619047619
0.18,-0.21,0.16,24,2.09,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,67.7142857142857
0.37,-0.21,0.16,25,2.18,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,68.3809523809524
0.18,-0.23,0.16,24,2.09,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,69.047619047619
0.18,-0.21,0.16,24,2.09,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,69.7142857142857
0.18,-0.21,0.17,24,2.09,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,70.3809523809524
0.18,-0.25,0.17,24,2.09,29.19,34.65,29.56,39.94,41.3705978394,1.9958616495,145.6152954102,0.0374,71.047619047619
0.28,-0.19,0.16,25,2.09,29.19,34.55,29.61,39.83,41.3705978394,1.9958616495,145.616897583,0.0417,71.047619047619
